seed,k,auc
1,1,0.8590293061500001
1,3,0.88103787791463
1,5,0.8634310204788778
1,7,0.8292018996778235
1,9,0.8169234333128228
1,11,0.8127533881619425
1,13,0.8043553805276962
1,15,0.7866326885076855
1,17,0.766998725812985
1,19,0.7599328159059423
1,21,0.7569790339207054
2,1,0.8755980861500001
2,3,0.8855263157612918
2,5,0.8742822966471172
2,7,0.8870215311053111
2,9,0.8816387559780383
2,11,0.8633373205724282
2,13,0.8434808612316148
2,15,0.8440191387411364
2,17,0.8211124402078828
2,19,0.8133373205530263
2,21,0.7998205741581459
3,1,0.8314007421499999
3,3,0.8792903525261828
3,5,0.8823051948118739
3,7,0.873144712447994
3,9,0.8573747680732607
3,11,0.8616651205851578
3,13,0.8519828386005914
3,15,0.839575602985981
3,17,0.8267625231900394
3,19,0.8296614100227969
3,21,0.8341256957207792
4,1,0.8792735042500001
4,3,0.8929249762302589
4,5,0.8901946818587013
4,7,0.8726258309485636
4,9,0.8687678062651709
4,11,0.8393874643633548
4,13,0.8414055080828111
4,15,0.8316714149987416
4,17,0.8215218423479225
4,19,0.8247269705580365
4,21,0.82733855649816
5,1,0.87440901925
5,3,0.919808461642987
5,5,0.8961692326264699
5,7,0.8958055522066917
5,9,0.8820463086376773
5,11,0.872893684086956
5,13,0.8609528427596497
5,15,0.8556188628914596
5,17,0.8422232997901867
5,19,0.8158564674631289
5,21,0.8010667959506182
6,1,0.8378787879
6,3,0.8821969697120455
6,5,0.8716540404072095
6,7,0.8627525252507703
6,9,0.8477272727092803
6,11,0.8340909090863258
6,13,0.8324494949346717
6,15,0.8243055555518308
6,17,0.8242424242180303
6,19,0.8289141414374495
6,21,0.8082070707012248
7,1,0.8992939427500002
7,3,0.8993558776059396
7,5,0.9173169825586213
7,7,0.912486064668506
7,9,0.9078409513299702
7,11,0.883314752869528
7,13,0.8669020190901585
7,15,0.8652917131089186
7,17,0.8591601635149387
7,19,0.8482596308710639
7,21,0.83791651184328
8,1,0.8766338924
8,3,0.9161943320040717
8,5,0.9110468478700752
8,7,0.8911509543304569
8,9,0.8628687102234991
8,11,0.8463851937448063
8,13,0.8029496818896993
8,15,0.8041064198656103
8,17,0.784094852514812
8,19,0.7751301330228803
8,21,0.7646616541296877
9,1,0.9030989824000001
9,3,0.9498149861297527
9,5,0.9413159111838691
9,7,0.9118293247047063
9,9,0.8970860314692992
9,11,0.8749999999848405
9,13,0.8774861239757864
9,15,0.8662118408972826
9,17,0.8581174838133672
9,19,0.8623381128480226
9,21,0.8581753006382979
10,1,0.8363659023
10,3,0.8371759720923978
10,5,0.8301345962385345
10,7,0.8418494516259347
10,9,0.8445289132559821
10,11,0.8369890329124626
10,13,0.8330009970033774
10,15,0.8358673978079512
10,17,0.8275797607279163
10,19,0.816114157530633
10,21,0.802280658010992
