seed,k,auc
1,1,0.8205750584499999
1,3,0.8398525046622853
1,5,0.8286967912195249
1,7,0.8334111301337472
1,9,0.8306105324429472
1,11,0.8348114285956965
1,13,0.8306572087994772
1,15,0.8264563125634149
1,17,0.8237957447365012
1,19,0.8204350275595967
1,21,0.8145537728505088
2,1,0.65069153025
2,3,0.6856180021249649
2,5,0.7039128203983369
2,7,0.7203256361434918
2,9,0.7352941239955445
2,11,0.7345500765556111
2,13,0.7363445443187151
2,15,0.7378764069150037
2,17,0.7518382422137213
2,19,0.7579219259875788
2,21,0.7674194751191222
3,1,0.82135111745
3,3,0.8632193368690242
3,5,0.869140935856614
3,7,0.8937447692165056
3,9,0.8874895564523356
3,11,0.879065869663987
3,13,0.8757297550265892
3,15,0.8690575283679152
3,17,0.8960800445325442
3,19,0.9084236631479905
3,21,0.9082568573447377
4,1,0.6889881006999999
4,3,0.7058221787198661
4,5,0.6917782794652529
4,7,0.6869884727744793
4,9,0.7039620594156251
4,11,0.7201450954932292
4,13,0.7222842326011906
4,15,0.7421410041511904
4,17,0.7537667484362351
4,19,0.7556268678318454
4,21,0.7570684602868305
5,1,0.67640399095
5,3,0.6891983759163496
5,5,0.7034080683752264
5,7,0.7258831597644475
5,9,0.7279778162518569
5,11,0.7413383241908968
5,13,0.7281476542760871
5,15,0.7277513683311142
5,17,0.7369225642967165
5,19,0.7379981986451767
5,21,0.744225554013202
6,1,0.697916674
6,3,0.7994124043732639
6,5,0.8361378336195512
6,7,0.8509615530143428
6,9,0.8470886903706196
6,11,0.8398771352461005
6,13,0.8520299184982909
6,15,0.8685897419743592
6,17,0.8581730742601765
6,19,0.8581730729509616
6,21,0.8685897368045674
7,1,0.86320344405
7,3,0.8946320116642423
7,5,0.89567097182645
7,7,0.9115151268696534
7,9,0.9021644766698267
7,11,0.9020778956349348
7,13,0.8958441284636793
7,15,0.8724675044871859
7,17,0.8813852534615148
7,19,0.9005194521175754
7,21,0.9141125250383978
8,1,0.6927083391000001
8,3,0.7478298692461807
8,5,0.7877604252770833
8,7,0.7883029614163195
8,9,0.7811414891657992
8,11,0.7841796865833339
8,13,0.7842881874847226
8,15,0.7956814167206602
8,17,0.8030598881375004
8,19,0.8178168329852434
8,21,0.8194444345982642
9,1,0.8412643792000001
9,3,0.8774137940240458
9,5,0.8851724155134137
9,7,0.8972988518309425
9,9,0.8997126472748679
9,11,0.8948275843783793
9,13,0.9080459752426264
9,15,0.9147126436078103
9,17,0.9200000014970171
9,19,0.9144827590814253
9,21,0.9040229901024254
10,1,0.8999999873500001
10,3,0.943057833823967
10,5,0.9499999807031819
10,7,0.9514875834792151
10,9,0.9452892356139259
10,11,0.9472727051236366
10,13,0.9509917122864466
10,15,0.9557850995530581
10,17,0.9608264211117359
10,19,0.9589255944980168
10,21,0.9677685691423145
