seed,k,auc
1,1,0.834588208
1,3,0.8411328622668018
1,5,0.8114212903762655
1,7,0.7977528089851095
1,9,0.7792771921671435
1,11,0.7757442372207055
1,13,0.7539094173440982
1,15,0.7659562145322367
1,17,0.77661299662136
1,19,0.7645661994510136
1,21,0.7632341016955462
2,1,0.7686602870500001
2,3,0.7933014354056938
2,5,0.8033492823134569
2,7,0.7892942583594018
2,9,0.7828349282349522
2,11,0.789772727269342
2,13,0.7991626794351196
2,15,0.7931220095782416
2,17,0.7864234449852393
2,19,0.7724880382596292
2,21,0.7683612440114354
3,1,0.79023654915
3,3,0.8338937848068066
3,5,0.8417787569427064
3,7,0.839865491659462
3,9,0.8336038961110622
3,11,0.8355171614012873
3,13,0.8424744897918947
3,15,0.8238636363771219
3,17,0.8286178107585112
3,19,0.8101808905263103
3,21,0.799455009270617
4,1,0.7752849003
4,3,0.8505460589171178
4,5,0.8438983855569208
4,7,0.8106006648140076
4,9,0.8135683760532764
4,11,0.8049026590548551
4,13,0.790360873676555
4,15,0.7935660019086419
4,17,0.7917260208869776
4,19,0.7903015194666074
4,21,0.7856718898543922
5,1,0.79161110435
5,3,0.8087646987524851
5,5,0.8044005333949934
5,7,0.803006425003461
5,9,0.7976118317441205
5,11,0.8027639713947265
5,13,0.8104012607616438
5,15,0.800763728947715
5,17,0.8149472663298946
5,19,0.8109467814208147
5,21,0.8021578372966905
6,1,0.7757575757499999
6,3,0.8618686868269192
6,5,0.8675505050521465
6,7,0.8268308080904041
6,9,0.8023989898875252
6,11,0.8111742424278788
6,13,0.8095959595988131
6,15,0.807260101017096
6,17,0.8240530302880682
6,19,0.8153409090988637
6,21,0.7984217171844571
7,1,0.8069490895999999
7,3,0.8618852966292889
7,5,0.8302365911123126
7,7,0.8101697014773814
7,9,0.8024278459168216
7,11,0.7984640158631116
7,13,0.8070729592597423
7,15,0.809240678816995
7,17,0.8237953672717453
7,19,0.821256038653233
7,21,0.8268921094849251
8,1,0.7749566223000001
8,3,0.851417004025321
8,5,0.8263157894698959
8,7,0.7958935801044535
8,9,0.7800462695542509
8,11,0.7718334297317293
8,13,0.7700404858147194
8,15,0.7765760555141585
8,17,0.772816657030428
8,19,0.7738577212249682
8,21,0.7736263736296818
9,1,0.7975254394
9,3,0.8570767807609853
9,5,0.8861586493941258
9,7,0.8771392229236701
9,9,0.8457446808586262
9,11,0.8155064755046948
9,13,0.8189176688161655
9,15,0.8315217391261563
9,17,0.8321577243136333
9,19,0.8283996299546484
9,21,0.8183395004575624
10,1,0.76607676965
10,3,0.8328140577964857
10,5,0.8449651046908025
10,7,0.8156156530316301
10,9,0.7991026919012962
10,11,0.8247756729734672
10,13,0.8451520438641078
10,15,0.8841600199468969
10,17,0.8858424725618395
10,19,0.8799227317946411
10,21,0.8834122632048105
