seed,k,auc
1,1,0.7387976096999999
1,3,0.8074122492477922
1,5,0.798450337151769
1,7,0.7858943251018204
1,9,0.7876680368094147
1,11,0.7789395077258636
1,13,0.7688106799662529
1,15,0.7616691561431713
1,17,0.7520070944617953
1,19,0.7492064969157815
1,21,0.7600354736198842
1,23,0.7619025385845501
1,25,0.7635828969649645
1,27,0.7598020901298825
1,29,0.7560212835201271
1,31,0.755274457341799
1,33,0.7543409248539723
1,35,0.7414581760770071
1,37,0.7409447330368513
1,39,0.729648989327824
1,41,0.7247479432674339
1,43,0.7206404001339666
1,45,0.7186333052320528
1,47,0.7121919308327951
1,49,0.7072908850233663
1,51,0.7040701972078511
2,1,0.70023634845
2,3,0.7161239534921875
2,5,0.719450284242879
2,7,0.7129726935533351
2,9,0.7145045566023767
2,11,0.701680676490984
2,13,0.6987482529819504
2,15,0.6917892187907564
2,17,0.6886817253791099
2,19,0.6889443304195554
2,21,0.6990983931199493
2,23,0.7064075668276086
2,25,0.7053571464200981
2,27,0.7100402694980612
2,29,0.7068452411096464
2,31,0.7107843168843402
2,33,0.709252454136371
2,35,0.7030812351305106
2,37,0.7003238746909152
2,39,0.6967349399557569
2,41,0.6973039179484958
2,43,0.6947654024781613
2,45,0.6945027981772555
2,47,0.69747898686669
2,49,0.6968662418544525
2,51,0.6954219151422676
3,1,0.5551292775000001
3,3,0.5980817345013679
3,5,0.6281067522754882
3,7,0.6713094178045957
3,9,0.7001667967739869
3,11,0.7032527014750878
3,13,0.6949958210835532
3,15,0.6935779729680153
3,17,0.6939949870967642
3,19,0.7153461115914764
3,21,0.7107589558319352
3,23,0.7067556203244624
3,25,0.7089240937218934
3,27,0.7216847264804173
3,29,0.7365304301376735
3,31,0.7599666252296668
3,33,0.7547122471240371
3,35,0.769974964741193
3,37,0.7793160816636368
3,39,0.7690575336251129
3,41,0.7835696261338787
3,43,0.7884069900878236
3,45,0.7989991494284407
3,47,0.8047539446756967
3,49,0.812093393662661
3,51,0.8264386804841205
4,1,0.7105654813
4,3,0.7175874310848959
4,5,0.7066127280963542
4,7,0.691778278324628
4,9,0.689918159094122
4,11,0.6853608671979168
4,13,0.6735956138899555
4,15,0.6749907032607887
4,17,0.6731305842199405
4,19,0.6675502265737352
4,21,0.6674107172053572
4,23,0.6684802851732887
4,25,0.6717354936523066
4,27,0.6799200184786459
4,29,0.6737816255722472
4,31,0.6788039471736608
4,33,0.6840587832777529
4,35,0.68019903597939
